group_url;text;comments;likes;reposts
samsung.galaxy_a;Как сделать, чтобы эта ***** пришла на телефон?;1;0;0
samsung.galaxy_a;"Сегодня скачал обновление (к сожалению не андроид 11), о котором узнал ""проверить обновления"" несмотря на то что галочка автообновлние стоит вкл. Почему так? Спасибо за ответы (Samsung A70)";9;0;0
samsung.galaxy_a;;19;5;0
samsung.galaxy_a;Купил а71. Наушники в комплекте не о чем. За колько их можно на авито впарить?;14;1;0
samsung.galaxy_a;Как убрать пиратский баннер на весь экран в браузере самсунг? Кэш и куки очищал ..;13;0;0
samsung.galaxy_a;"Характеристики Snapdragon 875 и предполагаемые результаты в AnTuTu

Нам уже известно, что компания Qualcomm проведет свою очередную презентацию 1 декабря, где с большой вероятностью будет представлен новый флагманский процессор Snapdragon 875. Самым топовым на данный момент чипсетом бренда является Snapdragon 865 Plus, но интересно, насколько его преемник будет быстрее.

Сейчас разберем, какие будут характеристики у Snapdragon 875, а потом подумаем, сколько он будет набирать в популярных бенчмарках, таких как AnTuTu и Geekbench.

Характеристики Snapdragon 875

Можно с уверенностью сказать, что новый процессор Qualcomm будет производиться по 5-нанометровому техпроцессу, поскольку конкуренты в лице Huawei и Apple уже выпустили своих конкурентов, которые используют эту новую технологию. Она позволяет сделать чипсет компактнее, но в то же самое время быстрее и энергоэффективнее. Точных цифр у нас нет, но будем надеяться, что новый Snapdragon нас удивит.

Тактовая частота процессора перевалит за 3.1 ГГц, но не слишком много. Главным достижением наверняка станет новый графический ускоритель Adreno 660. Недавно анонсированный Kirin 9000 получит целых 24 графических ядра, что сделало его чуть ли не самым мощным в этом плане.

Процессор Snapdragon 875 будет поддерживать 5G, в этом нет никаких сомнений. Его фишкой может стать поддержка 100-ваттных зарядок, и мы охотно верим, ведь уже сейчас большая часть производителей комплектуют свои аппараты 65 адаптерами питания.

Тесты Snapdragon 875 в бенчмарках

По информации авторитетных источников, Snapdragon 875 будет набирать больше 700 000 баллов в AnTuTu. Это впечатляющий результат, учитывая тот факт, что в производительном режиме новый Kirin 9000 набирает 680 000 баллов. Тот самый A14 Bionic показывает себя еще хуже – 580 000 баллов, но в обычном режиме. Говорят, что Samsung Exynos 2100, который составит им конкуренцию, будет еще быстрее. Недавно состоялась утечка, подтверждающая это. В бенчмарке Geekbench он набрал 1323 балла в одноядерном тесте и 4215 баллов в многоядерном. Сравнивая его с решением от Qualcomm, его результаты немного хуже – 1204 балла и 4121 балл соответственно.

В декабре появится официальная информация, тогда мы узнаем наверняка. Когда Samsung выпустит Galaxy S21, мы сможем сравнить Snapdragon 875 и Exynos 2100 в плане производительности.";0;3;0
samsung.galaxy_a;У кого новый а51 отпишите плиз!!!!!;2;0;0
samsung.galaxy_a;;0;2;0
samsung.galaxy_a;"Всем привет, у сестры пароль стоял на русском языке но после перезагрузки остался только английский язык и доступ к телефону пропал. Как фиксить? Помогите плз
Galaxy A51";19;0;0
samsung.galaxy_a;;3;3;0
samsung.galaxy_a;;2;2;1
samsung.galaxy_a;;0;7;0
samsung.galaxy_a;"Привет.
Почему не работает
Подскажите как включить
Samsung galaxy a01 core.
Спасибо";1;0;0
samsung.galaxy_a;Самсунг гелакси а11 не поддерживает самсунг пей)? Самсунг не поддерживает самсунг;3;0;0
samsung.galaxy_a;"Пермский край 
A71";4;4;0
samsung.galaxy_a;"Привет!
Нужна помощь с одним вопросом. 
Это нормально, что при небольшой тряске телефона слышит небольшой хруст в районе камеры? Еще камера щелкает при съёмке. 
Телефону 3 дня. Может попросить поменять? 🤔 Телефон а31";12;0;0
samsung.galaxy_a;;10;8;1
samsung.galaxy_a;Сегодня пришло обновление ПО на А11.Попугаев стало больше- было 89742,стало 95622.;11;0;0
samsung.galaxy_a;Все аудиозаписи отображаются вверху слева, можно сделать их как-нибудь по центру как, например, на айфонах?;8;0;0
samsung.galaxy_a;Добрый. Обновление сегодня 27 ноября     Samsung Galaxy a50;4;0;0
samsung.galaxy_a;Здравствуйте Самсунг а7 2017 почему телефон обрезает фотки ? Помогите кто сталкивался;8;0;0
